lambda_idx,lambda_nm,rank,sample_idx,score
0,800.0,1,3841,0.931912899017334
0,800.0,2,2264,0.9175251126289368
0,800.0,3,27,0.909960925579071
0,800.0,4,662,0.8922893404960632
0,800.0,5,4968,0.8867924213409424
1,850.0,1,3977,0.9460030198097229
1,850.0,2,2481,0.899541974067688
1,850.0,3,2059,0.8849669098854065
1,850.0,4,3465,0.8756939768791199
1,850.0,5,3739,0.857716977596283
2,900.0,1,781,0.940954327583313
2,900.0,2,398,0.9314053654670715
2,900.0,3,1344,0.9159760475158691
2,900.0,4,3749,0.9020474553108215
2,900.0,5,2425,0.900418758392334
3,950.0,1,808,0.9550094604492188
3,950.0,2,2675,0.9524630308151245
3,950.0,3,11,0.9398476481437683
3,950.0,4,4158,0.9280592203140259
3,950.0,5,1104,0.9245344400405884
4,1000.0,1,2002,0.9365366101264954
4,1000.0,2,4551,0.9310599565505981
4,1000.0,3,2102,0.9114624857902527
4,1000.0,4,346,0.8991619348526001
4,1000.0,5,3718,0.8827064037322998
5,1050.0,1,3905,0.9675430655479431
5,1050.0,2,4279,0.9555132389068604
5,1050.0,3,3923,0.9374998807907104
5,1050.0,4,4668,0.9314779043197632
5,1050.0,5,3886,0.9153562784194946
6,1100.0,1,4637,0.9659461379051208
6,1100.0,2,212,0.9597840309143066
6,1100.0,3,556,0.9572004675865173
6,1100.0,4,872,0.9521175622940063
6,1100.0,5,3915,0.9424505233764648
7,1150.0,1,3138,0.9699059724807739
7,1150.0,2,2191,0.9661986827850342
7,1150.0,3,3186,0.957023561000824
7,1150.0,4,4438,0.9480061531066895
7,1150.0,5,2604,0.9192445278167725
8,1200.0,1,3608,0.9687454700469971
8,1200.0,2,2575,0.9469179511070251
8,1200.0,3,4999,0.9425214529037476
8,1200.0,4,3788,0.942219078540802
8,1200.0,5,1060,0.9142027497291565
9,1250.0,1,4010,0.975160539150238
9,1250.0,2,1849,0.8890309929847717
9,1250.0,3,4105,0.8884141445159912
9,1250.0,4,2213,0.8592907786369324
9,1250.0,5,1578,0.8514574766159058
10,1300.0,1,2911,0.8397252559661865
10,1300.0,2,4661,0.7947413921356201
10,1300.0,3,4958,0.7325666546821594
10,1300.0,4,206,0.7049992680549622
10,1300.0,5,3294,0.6929625272750854
