# sample_idx,tpp_score,tss_mean_1000nm
2002,0.846891,0.123009
4551,0.821778,0.199219
2102,0.821057,0.080571
719,0.807486,0.063719
2226,0.777102,0.112866
4318,0.772733,0.079547
1816,0.759596,0.081410
574,0.753752,0.194800
3371,0.750052,0.164391
4391,0.727450,0.084738
4279,0.725117,0.058960
2798,0.723642,0.148024
4810,0.709019,0.189562
3268,0.703299,0.034074
1948,0.702974,0.168364
310,0.696461,0.135651
3756,0.694067,0.159200
3704,0.688637,0.130316
1975,0.685057,0.151070
2676,0.681069,0.184926
4209,0.675635,0.138381
2761,0.668528,0.050472
416,0.648415,0.152521
4661,0.636829,0.148208
1410,0.627393,0.132697
3655,0.627018,0.033223
4819,0.623241,0.171787
1010,0.620838,0.128368
4422,0.615670,0.027103
472,0.614220,0.152180
1782,0.606831,0.063740
3441,0.606366,0.198237
4700,0.589981,0.156457
3348,0.589702,0.118931
1907,0.589271,0.068775
4167,0.584179,0.188137
4170,0.574102,0.171657
4584,0.573630,0.063910
4094,0.571198,0.141662
1104,0.561839,0.177490
4723,0.545635,0.169590
644,0.542913,0.181364
3679,0.542611,0.133362
3401,0.541420,0.156758
3346,0.531146,0.167275
2690,0.524504,0.099851
3733,0.523143,0.055335
3949,0.519491,0.082198
4888,0.518079,0.041864
4203,0.517324,0.174133
4300,0.516406,0.185083
4454,0.507885,0.173874
1930,0.507385,0.098242
3341,0.501997,0.191380
108,0.498525,0.192272
4704,0.498521,0.101288
895,0.485581,0.170811
377,0.480681,0.195654
2181,0.479681,0.189740
3894,0.470667,0.142532
3304,0.463864,0.169790
4421,0.462602,0.170199
42,0.461989,0.181513
2787,0.461903,0.193731
4353,0.461187,0.177309
3066,0.461116,0.146511
3571,0.457891,0.130870
3451,0.453070,0.191408
826,0.450350,0.196919
3215,0.449186,0.168586
4847,0.448725,0.127577
3176,0.447730,0.118528
671,0.437626,0.120228
375,0.435023,0.121825
2933,0.432794,0.110051
629,0.432132,0.185207
4027,0.427839,0.161212
3865,0.419659,0.135320
267,0.412015,0.181621
1945,0.408087,0.120664
331,0.406943,0.192946
4518,0.402266,0.121118
